Date,equity,chosen
2020-01-02,1.0,CASH
2020-01-03,1.0,CASH
2020-01-06,1.0,CASH
2020-01-07,1.0,CASH
2020-01-08,1.0,CASH
2020-01-09,1.0,CASH
2020-01-10,1.0,CASH
2020-01-13,1.0,CASH
2020-01-14,1.0,CASH
2020-01-15,1.0,CASH
2020-01-16,1.0,CASH
2020-01-17,1.0,CASH
2020-01-21,1.0,CASH
2020-01-22,1.0,CASH
2020-01-23,1.0,CASH
2020-01-24,1.0,CASH
2020-01-27,1.0,CASH
2020-01-28,1.0,CASH
2020-01-29,1.0,CASH
2020-01-30,1.0,CASH
2020-01-31,1.0,CASH
2020-02-03,1.0,CASH
2020-02-04,1.0,CASH
2020-02-05,1.0,CASH
2020-02-06,1.0,CASH
2020-02-07,1.0,CASH
2020-02-10,1.0,CASH
2020-02-11,1.0,CASH
2020-02-12,1.0,CASH
2020-02-13,1.0,CASH
2020-02-14,1.0,CASH
2020-02-18,1.0,CASH
2020-02-19,1.0,CASH
2020-02-20,1.0,CASH
2020-02-21,1.0,CASH
2020-02-24,1.0,CASH
2020-02-25,1.0,CASH
2020-02-26,1.0,CASH
2020-02-27,1.0,CASH
2020-02-28,1.0,CASH
2020-03-02,1.0,CASH
2020-03-03,1.0,CASH
2020-03-04,1.0,CASH
2020-03-05,1.0,CASH
2020-03-06,1.0,CASH
2020-03-09,1.0,CASH
2020-03-10,1.0,CASH
2020-03-11,1.0,CASH
2020-03-12,1.0,CASH
2020-03-13,1.0,CASH
2020-03-16,1.0,CASH
2020-03-17,1.0,CASH
2020-03-18,1.0,CASH
2020-03-19,1.0,CASH
2020-03-20,1.0,CASH
2020-03-23,1.0,CASH
2020-03-24,1.0,CASH
2020-03-25,1.0,CASH
2020-03-26,1.0,CASH
2020-03-27,1.0,CASH
2020-03-30,1.0,CASH
2020-03-31,1.0,CASH
2020-04-01,1.0,CASH
2020-04-02,1.0,CASH
2020-04-03,1.0,CASH
2020-04-06,1.0,CASH
2020-04-07,1.0,CASH
2020-04-08,1.0,CASH
2020-04-09,1.0,CASH
2020-04-13,1.0,CASH
2020-04-14,1.0,CASH
2020-04-15,1.0,CASH
2020-04-16,1.0,CASH
2020-04-17,1.0,CASH
2020-04-20,1.0,CASH
2020-04-21,1.0,CASH
2020-04-22,1.0,CASH
2020-04-23,1.0,CASH
2020-04-24,1.0,CASH
2020-04-27,1.0,CASH
2020-04-28,1.0,CASH
2020-04-29,1.0,CASH
2020-04-30,1.0,CASH
2020-05-01,1.0,CASH
2020-05-04,1.0,CASH
2020-05-05,1.0,CASH
2020-05-06,1.0,CASH
2020-05-07,1.0,CASH
2020-05-08,1.0,CASH
2020-05-11,1.0,CASH
2020-05-12,1.0,CASH
2020-05-13,1.0,CASH
2020-05-14,1.0,CASH
2020-05-15,1.0,CASH
2020-05-18,1.0,CASH
2020-05-19,1.0,CASH
2020-05-20,1.0,CASH
2020-05-21,1.0,CASH
2020-05-22,1.0,CASH
2020-05-26,1.0,CASH
2020-05-27,1.0,CASH
2020-05-28,1.0,CASH
2020-05-29,1.0,CASH
2020-06-01,1.0,CASH
2020-06-02,1.0,CASH
2020-06-03,1.0,CASH
2020-06-04,1.0,CASH
2020-06-05,1.0,CASH
2020-06-08,1.0,CASH
2020-06-09,1.0,CASH
2020-06-10,1.0,CASH
2020-06-11,1.0,CASH
2020-06-12,1.0,CASH
