Date,equity,chosen
2015-01-02,1.0,CASH
2015-01-05,1.0,CASH
2015-01-06,1.0,CASH
2015-01-07,1.0,CASH
2015-01-08,1.0,CASH
2015-01-09,1.0,CASH
2015-01-12,1.0,CASH
2015-01-13,1.0,CASH
2015-01-14,1.0,CASH
2015-01-15,1.0,CASH
2015-01-16,1.0,CASH
2015-01-20,1.0,CASH
2015-01-21,1.0,CASH
2015-01-22,1.0,CASH
2015-01-23,1.0,CASH
2015-01-26,1.0,CASH
2015-01-27,1.0,CASH
2015-01-28,1.0,CASH
2015-01-29,1.0,CASH
2015-01-30,1.0,CASH
2015-02-02,1.0,CASH
2015-02-03,1.0,CASH
2015-02-04,1.0,CASH
2015-02-05,1.0,CASH
2015-02-06,1.0,CASH
2015-02-09,1.0,CASH
2015-02-10,1.0,CASH
2015-02-11,1.0,CASH
2015-02-12,1.0,CASH
2015-02-13,1.0,CASH
2015-02-17,1.0,CASH
2015-02-18,1.0,CASH
2015-02-19,1.0,CASH
2015-02-20,1.0,CASH
2015-02-23,1.0,CASH
2015-02-24,1.0,CASH
2015-02-25,1.0,CASH
2015-02-26,1.0,CASH
2015-02-27,1.0,CASH
2015-03-02,1.0,CASH
2015-03-03,1.0,CASH
2015-03-04,1.0,CASH
2015-03-05,1.0,CASH
2015-03-06,1.0,CASH
2015-03-09,1.0,CASH
2015-03-10,1.0,CASH
2015-03-11,1.0,CASH
2015-03-12,1.0,CASH
2015-03-13,1.0,CASH
2015-03-16,1.0,CASH
2015-03-17,1.0,CASH
2015-03-18,1.0,CASH
2015-03-19,1.0,CASH
2015-03-20,1.0,CASH
2015-03-23,1.0,CASH
2015-03-24,1.0,CASH
2015-03-25,1.0,CASH
2015-03-26,1.0,CASH
2015-03-27,1.0,CASH
2015-03-30,1.0,CASH
2015-03-31,1.0,CASH
2015-04-01,1.0,CASH
2015-04-02,1.0,CASH
2015-04-06,1.0,CASH
2015-04-07,1.0,CASH
2015-04-08,1.0,CASH
2015-04-09,1.0,CASH
2015-04-10,1.0,CASH
2015-04-13,1.0,CASH
2015-04-14,1.0,CASH
2015-04-15,1.0,CASH
2015-04-16,1.0,CASH
2015-04-17,1.0,CASH
2015-04-20,1.0,CASH
2015-04-21,1.0,CASH
2015-04-22,1.0,CASH
2015-04-23,1.0,CASH
2015-04-24,1.0,CASH
2015-04-27,1.0,CASH
2015-04-28,1.0,CASH
2015-04-29,1.0,CASH
2015-04-30,1.0,CASH
2015-05-01,1.0,CASH
2015-05-04,1.0,CASH
2015-05-05,1.0,CASH
2015-05-06,1.0,CASH
2015-05-07,1.0,CASH
2015-05-08,1.0,CASH
2015-05-11,1.0,CASH
2015-05-12,1.0,CASH
2015-05-13,1.0,CASH
2015-05-14,1.0,CASH
2015-05-15,1.0,CASH
2015-05-18,1.0,CASH
2015-05-19,1.0,CASH
2015-05-20,1.0,CASH
2015-05-21,1.0,CASH
2015-05-22,1.0,CASH
2015-05-26,1.0,CASH
2015-05-27,1.0,CASH
2015-05-28,1.0,CASH
2015-05-29,1.0,CASH
2015-06-01,1.0,CASH
2015-06-02,1.0,CASH
2015-06-03,1.0,CASH
2015-06-04,1.0,CASH
2015-06-05,1.0,CASH
2015-06-08,1.0,CASH
2015-06-09,1.0,CASH
2015-06-10,1.0,CASH
2015-06-11,1.0,CASH
2015-06-12,1.0,CASH
2015-06-15,1.0,CASH
2015-06-16,1.0,CASH
2015-06-17,1.0,CASH
2015-06-18,1.0,CASH
2015-06-19,1.0,CASH
2015-06-22,1.0,CASH
2015-06-23,1.0,CASH
2015-06-24,1.0,CASH
2015-06-25,1.0,CASH
2015-06-26,1.0,CASH
2015-06-29,1.0,CASH
2015-06-30,1.0,CASH
2015-07-01,1.0,CASH
2015-07-02,1.0,CASH
2015-07-06,1.0,CASH
2015-07-07,1.0,CASH
2015-07-08,1.0,CASH
2015-07-09,1.0,CASH
2015-07-10,1.0,CASH
2015-07-13,1.0,CASH
2015-07-14,1.0,CASH
2015-07-15,1.0,CASH
2015-07-16,1.0,CASH
2015-07-17,1.0,CASH
2015-07-20,1.0,CASH
2015-07-21,1.0,CASH
2015-07-22,1.0,CASH
2015-07-23,1.0,CASH
2015-07-24,1.0,CASH
2015-07-27,1.0,CASH
2015-07-28,1.0,CASH
2015-07-29,1.0,CASH
2015-07-30,1.0,CASH
2015-07-31,1.0,CASH
2015-08-03,1.0,CASH
2015-08-04,1.0,CASH
2015-08-05,1.0,CASH
2015-08-06,1.0,CASH
2015-08-07,1.0,CASH
2015-08-10,1.0,CASH
2015-08-11,1.0,CASH
2015-08-12,1.0,CASH
2015-08-13,1.0,CASH
2015-08-14,1.0,CASH
2015-08-17,1.0,CASH
2015-08-18,1.0,CASH
2015-08-19,1.0,CASH
2015-08-20,1.0,CASH
2015-08-21,1.0,CASH
2015-08-24,1.0,CASH
2015-08-25,1.0,CASH
2015-08-26,1.0,CASH
2015-08-27,1.0,CASH
2015-08-28,1.0,CASH
2015-08-31,1.0,CASH
2015-09-01,1.0,CASH
2015-09-02,1.0,CASH
2015-09-03,1.0,CASH
2015-09-04,1.0,CASH
2015-09-08,1.0,CASH
2015-09-09,1.0,CASH
2015-09-10,1.0,CASH
2015-09-11,1.0,CASH
2015-09-14,1.0,CASH
2015-09-15,1.0,CASH
2015-09-16,1.0,CASH
2015-09-17,1.0,CASH
2015-09-18,1.0,CASH
2015-09-21,1.0,CASH
2015-09-22,1.0,CASH
2015-09-23,1.0,CASH
2015-09-24,1.0,CASH
2015-09-25,1.0,CASH
2015-09-28,1.0,CASH
2015-09-29,1.0,CASH
2015-09-30,1.0,CASH
2015-10-01,1.0,CASH
2015-10-02,1.0,CASH
2015-10-05,1.0,CASH
2015-10-06,1.0,CASH
2015-10-07,1.0,CASH
2015-10-08,1.0,CASH
2015-10-09,1.0,CASH
2015-10-12,1.0,CASH
2015-10-13,1.0,CASH
2015-10-14,1.0,CASH
2015-10-15,1.0,CASH
2015-10-16,1.0,CASH
2015-10-19,1.0,CASH
2015-10-20,1.0,CASH
2015-10-21,1.0,CASH
2015-10-22,1.0,CASH
2015-10-23,1.0,CASH
2015-10-26,1.0,CASH
2015-10-27,1.0,CASH
2015-10-28,1.0,CASH
2015-10-29,1.0,CASH
2015-10-30,1.0,CASH
2015-11-02,1.0,CASH
2015-11-03,1.0,CASH
2015-11-04,1.0,CASH
2015-11-05,1.0,CASH
2015-11-06,1.0,CASH
2015-11-09,1.0,CASH
2015-11-10,1.0,CASH
2015-11-11,1.0,CASH
2015-11-12,1.0,CASH
2015-11-13,1.0,CASH
2015-11-16,1.0,CASH
2015-11-17,1.0,CASH
2015-11-18,1.0,CASH
2015-11-19,1.0,CASH
2015-11-20,1.0,CASH
2015-11-23,1.0,CASH
2015-11-24,1.0,CASH
2015-11-25,1.0,CASH
2015-11-27,1.0,CASH
2015-11-30,1.0,CASH
2015-12-01,1.0,CASH
2015-12-02,1.0,CASH
2015-12-03,1.0,CASH
2015-12-04,1.0,CASH
2015-12-07,1.0,CASH
2015-12-08,1.0,CASH
2015-12-09,1.0,CASH
2015-12-10,1.0,CASH
2015-12-11,1.0,CASH
2015-12-14,1.0,CASH
2015-12-15,1.0,CASH
2015-12-16,1.0,CASH
2015-12-17,1.0,CASH
2015-12-18,1.0,CASH
2015-12-21,1.0,CASH
2015-12-22,1.0,CASH
2015-12-23,1.0,CASH
2015-12-24,1.0,CASH
2015-12-28,1.0,CASH
2015-12-29,1.0,CASH
2015-12-30,1.0,CASH
2015-12-31,1.0,CASH
2016-01-04,1.0,CASH
2016-01-05,1.0,CASH
2016-01-06,1.0,CASH
2016-01-07,1.0,CASH
2016-01-08,1.0,CASH
2016-01-11,1.0,CASH
2016-01-12,1.0,CASH
2016-01-13,1.0,CASH
2016-01-14,1.0,CASH
2016-01-15,1.0,CASH
2016-01-19,1.0,CASH
2016-01-20,1.0,CASH
2016-01-21,1.0,CASH
2016-01-22,1.0,CASH
2016-01-25,1.0,CASH
2016-01-26,1.0,CASH
2016-01-27,1.0,CASH
2016-01-28,1.0,CASH
2016-01-29,1.0,CASH
2016-02-01,1.0,CASH
2016-02-02,1.0,CASH
2016-02-03,1.0,CASH
2016-02-04,1.0,CASH
2016-02-05,1.0,CASH
2016-02-08,1.0,CASH
2016-02-09,1.0,CASH
2016-02-10,1.0,CASH
2016-02-11,1.0,CASH
2016-02-12,1.0,CASH
2016-02-16,1.0,CASH
2016-02-17,1.0,CASH
2016-02-18,1.0,CASH
2016-02-19,1.0,CASH
2016-02-22,1.0,CASH
2016-02-23,1.0,CASH
2016-02-24,1.0,CASH
2016-02-25,1.0,CASH
2016-02-26,1.0,CASH
2016-02-29,1.0,CASH
2016-03-01,1.0,CASH
2016-03-02,1.0,CASH
2016-03-03,1.0,CASH
2016-03-04,1.0,CASH
2016-03-07,1.0,CASH
2016-03-08,1.0,CASH
2016-03-09,1.0,CASH
2016-03-10,1.0,CASH
2016-03-11,1.0,CASH
2016-03-14,1.0,CASH
2016-03-15,1.0,CASH
2016-03-16,1.0,CASH
2016-03-17,1.0,CASH
2016-03-18,1.0,CASH
2016-03-21,1.0,CASH
2016-03-22,1.0,CASH
2016-03-23,1.0,CASH
2016-03-24,1.0,CASH
2016-03-28,1.0,CASH
2016-03-29,1.0,CASH
2016-03-30,1.0,CASH
2016-03-31,1.0,SPY
2016-04-01,1.0068119576975962,SPY
2016-04-04,1.0035518608600167,SPY
2016-04-05,0.9935284192195802,SPY
2016-04-06,1.0043789733025954,SPY
2016-04-07,0.9923608432058237,SPY
2016-04-08,0.9950368920745211,SPY
2016-04-11,0.9927014800850041,SPY
2016-04-12,1.0019465088316026,SPY
2016-04-13,1.0120671762615179,SPY
2016-04-14,1.0121157025022558,SPY
2016-04-15,1.0109966527292373,SPY
2016-04-18,1.0181003744492707,SPY
2016-04-19,1.0213118583921108,SPY
2016-04-20,1.02228498282691,SPY
2016-04-21,1.0167871330592988,SPY
2016-04-22,1.0167871330592988,SPY
2016-04-25,1.015034902498651,SPY
2016-04-26,1.0165435486615944,SPY
2016-04-27,1.018635722869412,SPY
2016-04-28,1.0093906941228137,SPY
2016-04-29,1.0039411972879377,SPY
2016-05-02,1.0119209909612945,SPY
2016-05-03,1.0031142581533619,SPY
2016-05-04,0.99751840271026,SPY
2016-05-05,0.9973239511313029,SPY
2016-05-06,1.000973297742802,SPY
2016-05-09,1.0018003235313795,SPY
2016-05-10,1.0142567495668169,SPY
2016-05-11,1.0047683097305167,SPY
2016-05-12,1.0050603337149577,SPY
2016-05-13,0.9963021271477629,SPY
2016-05-16,1.0061305972852344,SPY
2016-05-17,0.9967400764704234,SPY
2016-05-18,0.9970318404928606,SPY
2016-05-19,0.993577292076324,SPY
2016-05-20,0.99985398800778,SPY
2016-05-23,0.9984917871070637,SPY
2016-05-24,1.0114345153978967,SPY
2016-05-25,1.0182949126822296,SPY
2016-05-26,1.0185869366666707,SPY
2016-05-27,1.0229662565852713,SPY
2016-05-31,1.0210200077156728,SPY
2016-06-01,1.0231120952694892,SPY
2016-06-02,1.0262263534228508,SPY
2016-06-03,1.0231605348562258,SPY
2016-06-06,1.0283670538714065,SPY
2016-06-07,1.0299725792078234,SPY
2016-06-08,1.0333300751428842,SPY
2016-06-09,1.0319189147314234,SPY
2016-06-10,1.0221391441426926,SPY
2016-06-13,1.014256749566817,SPY
2016-06-14,1.0122616278404752,SPY
2016-06-15,1.0108507273910183,SPY
2016-06-16,1.0138671531768921,SPY
2016-06-17,1.0100915516854727,SPY
2016-06-20,1.0165964076023986,SPY
2016-06-21,1.0194819858462822,SPY
2016-06-22,1.0178192688689955,SPY
2016-06-23,1.0310736916025687,SPY
2016-06-24,0.994049123113499,SPY
2016-06-27,0.9762457119267447,SPY
2016-06-28,0.9938534583785233,SPY
2016-06-29,1.010776118295883,SPY
2016-06-30,1.0245688356856426,SPY
2016-07-01,1.0267207145003685,SPY
2016-07-05,1.0193354539300534,SPY
2016-07-06,1.025448980377028,SPY
2016-07-07,1.0248133732773617,SPY
2016-07-08,1.0400733162174347,SPY
2016-07-11,1.04374146674722,SPY
2016-07-12,1.0513228253225173,SPY
2016-07-13,1.0511759467902837,SPY
2016-07-14,1.0570450222995407,SPY
2016-07-15,1.055626842913973,SPY
2016-07-18,1.0584637216091162,SPY
2016-07-19,1.0573874789127486,SPY
2016-07-20,1.0617894155256933,SPY
2016-07-21,1.0577788083827,SPY
2016-07-22,1.0625230283008502,SPY
2016-07-25,1.0596372767489637,SPY
2016-07-26,1.0601263519324013,SPY
2016-07-27,1.059001582995296,SPY
2016-07-28,1.0602241842998892,SPY
2016-07-29,1.061936554019931,SPY
2016-08-01,1.061055629442534,SPY
2016-08-02,1.0542574497311472,SPY
2016-08-03,1.0573386060560053,SPY
2016-08-04,1.058463721609116,SPY
2016-08-05,1.0671205429947688,SPY
2016-08-08,1.066484849241101,SPY
2016-08-09,1.0671205429947686,SPY
2016-08-10,1.0644794156886022,SPY
2016-08-11,1.0694193003417278,SPY
2016-08-12,1.0684901094855968,SPY
2016-08-15,1.071571265810455,SPY
2016-08-16,1.066044560260405,SPY
2016-08-17,1.068049820504901,SPY
2016-08-18,1.0704465835273511,SPY
2016-08-19,1.0688812656475457,SPY
2016-08-22,1.068832826060809,SPY
2016-08-23,1.0709848781835374,SPY
2016-08-24,1.0655064389122213,SPY
2016-08-25,1.0647729994450672,SPY
2016-08-26,1.06276765254657,SPY
2016-08-29,1.0680011209561604,SPY
2016-08-30,1.066240311649382,SPY
2016-08-31,1.0632078548732642,EEM
2016-09-01,1.0713569491967903,EEM
2016-09-02,1.0888202238506675,EEM
2016-09-06,1.112104590055837,EEM
2016-09-07,1.1086119757983381,EEM
2016-09-08,1.1057013283395005,EEM
2016-09-09,1.0684467084707183,EEM
2016-09-12,1.0757230898570325,EEM
2016-09-13,1.048655295467019,EEM
2016-09-14,1.0518571635859673,EEM
2016-09-15,1.0699021338833288,EEM
2016-09-16,1.0626257524970146,EEM
2016-09-19,1.0710663386358283,EEM
2016-09-20,1.071648102068107,EEM
2016-09-21,1.1016266794945466,EEM
2016-09-22,1.1094851632571106,EEM
2016-09-23,1.0952234177782103,EEM
2016-09-26,1.079215771903326,EEM
2016-09-27,1.094641450979549,EEM
2016-09-28,1.1045369202206188,EEM
2016-09-29,1.0853274740155807,EEM
2016-09-30,1.0899845641807562,QQQ
2016-10-03,1.0884236113867887,QQQ
2016-10-04,1.08677129810562,QQQ
2016-10-05,1.0906269938383106,QQQ
2016-10-06,1.090076371782903,QQQ
2016-10-07,1.08768929960793,QQQ
2016-10-10,1.094575242364724,QQQ
2016-10-11,1.0789669812507279,QQQ
2016-10-12,1.0780492033058906,QQQ
2016-10-13,1.0741930604582544,QQQ
2016-10-14,1.0754782178499938,QQQ
2016-10-17,1.0725405236196128,QQQ
2016-10-18,1.0820887378003474,QQQ
2016-10-19,1.0819969301982006,QQQ
2016-10-20,1.0807115492489887,QQQ
2016-10-21,1.0847513073009183,QQQ
2016-10-24,1.097788433920702,QQQ
2016-10-25,1.0942995960008104,QQQ
2016-10-26,1.0868628076311357,QQQ
2016-10-27,1.0819050480768961,QQQ
2016-10-28,1.075111061960564,QQQ
2016-10-31,1.0741010292986346,EEM
2016-11-01,1.065425047822073,EEM
2016-11-02,1.0527000774047446,EEM
2016-11-03,1.0498080386735336,EEM
2016-11-04,1.0391075964058563,EEM
2016-11-07,1.0767038304774568,EEM
2016-11-08,1.0836447234323634,EEM
2016-11-09,1.048362052987196,EEM
2016-11-10,1.0185740203764544,EEM
2016-11-11,0.9991974619151441,EEM
2016-11-14,0.9919673314078488,EEM
2016-11-15,1.011922364973937,EEM
2016-11-16,1.0035356210497643,EEM
2016-11-17,1.004981404660495,EEM
2016-11-18,1.0003541426905573,EEM
2016-11-21,1.0101870743766748,EEM
2016-11-22,1.0255147786142897,EEM
2016-11-23,1.0145252335112949,EEM
2016-11-25,1.0194415983165501,EEM
